á	aː
halla	ˈ h o l̻ˠ ə
hamstar	ˈ h a mˠ sˠ t̪ˠ ə ɾˠ
hanla	ˈ h a n̻ˠ l̻ˠ ə
hanraí	ˈ h a n̻ˠ ˈ ɾˠ iː
hAntartaice	ˈ h a n̻ˠ ˈ t̪ˠ a ɾˠ ˈ t̪ˠ a c ə
haoibhinn	ˈ h iː vʲ ə n̻ʲ
hAoine	ˈ h iː nʲ ə
haplóideach	
Harmagadón	
hart	ˈ h a ɾˠ t̪ˠ
hAsóir	
hata	ˈ h a t̪ˠ ə
hAthbhliana	ˈ h a ˈ vʲ lʲ ia n̻ˠ ə
Haváí	ˈ h a vʲ aː iː
Haváíoch	ˈ h a vʲ aː iˑə h
hé	ˈ h eː
hea	ˈ h a
hearmafraidíteach	ˈ h a ɾˠ ə mˠ ə fˠ ɾˠ ə dʲ iː tʲ ə h
hearóin	ˈ h a ɾˠ o nʲ
héigeandála	ˈ h eː ɟ ə n̻ˠ d̪ˠ aː l̻ˠ ə
héileacaptar	ˈ h ɛ l ə k ɒ p t̪ ə ɹ
heileo	
heimipléige	ˈ h e mʲ ə pʲ lʲ eː ɟ ə
heimipléigeach	ˈ h e mʲ ə pʲ lʲ eː ɟ ə h
heipitíteas	ˈ h e pʲ ə tʲ iː tʲ ə sˠ
héireann	ˈ h eː ɾʲ ə n̻ˠ
Heirseagaivéin	ˈ h e ɾʲ ʃ ə ɡ ə vʲ eː nʲ
heitrighnéasach	ˈ h e tʲ ɾʲ ə nʲ eː sˠ ə h
hEorpa	ˈ h oː ɾˠ pˠ ə
hidreacarbón	
hidrigin	ˈ h i dʲ ɾʲ ə ɟ i nʲ
himéiniptearaigh	ˈ h i ˈ mʲ eː nʲ ə pʲ tʲ ə ɾˠ iː
hInide	ˈ h i ˈ nʲ i dʲ ə
hiodrálach	ˈ h i ˈ d̪ˠ ɾˠ aː l̻ˠ a h
hiodrálaic	ˈ h i ˈ d̪ˠ ɾˠ aː l̻ˠ ə c
hiomlán	ˈ h o mˠ l̻ˠ a n̻ˠ
Hiondúch	ˈ h i n̻ˠ d̪ˠ uː h
hiopnóis	ˈ h i pˠ n̻ˠ o ʃ
hipeacoindreach	ˈ h i pʲ ə k ə nʲ dʲ ɾʲ ə h
hipearnasc	ˈ h i pʲ ə ɾˠ n̻ˠ ə sˠ k
hipí	ˈ h i pʲ iː
hipirtéacs	ˈ h i pʲ ə ɾˠ tʲ eː k sˠ
hipirtheannas	ˈ h i pʲ ə ɾʲ h ə n̻ˠ ə sˠ
hipithe	ˈ h i pʲ ə h ə
Hiteach	ˈ h i tʲ ə h
hochtóidí	
hOileáin	ˈ h o lʲ aː nʲ
homafóibe	
homaighnéasach	ˈ h o mˠ iː nʲ eː sˠ ə h
homaighnéasacht	ˈ h o mˠ iː nʲ eː sˠ ə ɾˠ t̪ˠ
Hondúrach	ˈ h o n̻ˠ d̪ˠ uː ɾˠ ə h
Hondúras	ˈ h o n̻ˠ d̪ˠ uː ɾˠ ə sˠ
house	ˈ h o ə ʃ ə
huathoibríoch	ˈ h ua h ˈ o bʲ ɾʲ i a h
húc	ˈ h uː k
húcáil	ˈ h uː k aː lʲ
húda	ˈ h uː d̪ˠ ə
humh	ˈ h u vˠ
Húsach	ˈ h uː sˠ ə h
Hútach	ˈ h uː t̪ˠ ə h
huth	ˈ h u
i	ˈ i
í	ˈ iː
iad	ˈ ia d̪ˠ
iadsan	ˈ iˑə d̪ˠ sˠ ə n̻ˠ
iaguar	ˈ ia ɡ ua ɾˠ
iaigh	ˈ ia j
Iáivé	ˈ iː aː vʲ eː
iall	ˈ ia l̻ˠ
ialtóg	ˈ ia l̻ˠ t̪ˠ o ɡ
Iamácach	ˈ iˑə mˠ aː k ə h
Iamáice	ˈ iˑə mˠ aː c ə
ian	ˈ iˑə n̻ˠ
iar	ˈ ia ɾˠ
Iarácach	ˈ iˑə ˈ ɾˠ aː k ə h
Iaráic	ˈ iˑə ˈ ɾˠ aː c
Iaráin	ˈ iˑə ɾˠ aː nʲ
iarainn	ˈ iˑə ɾˠ ə n̻ʲ
Iaránach	ˈ iˑə ˈ ɾˠ aː n̻ˠ ə h
iarann	ˈ ia ɾˠ ə n̻ˠ
iarbhír	ˈ iˑə ɾˠ ˈ vʲ iː ɾʲ
iarbhlas	ˈ iˑə ɾˠ ˈ vˠ l̻ˠ a sˠ
iarbhreithe	ˈ iˑə ɾˠ ˈ vʲ ɾʲ e hʲ ə
iarchéime	ˈ iˑə ɾˠ ˈ ç eː mʲ ə
iarchéimí	ˈ ia ɾˠ ç e mʲ iː
iarchurtha	ˈ iˑə ɾˠ ˈ x u ɾˠ h ə
iardheisceart	ˈ ia ɾˠ ˈ j e ʃ c ə ɾˠ t̪ˠ
iargúlta	ˈ ia ɾˠ ˈ ɡ uː l̻ˠ t̪ˠ ə
iaríoctha	ˈ iˑə ˈ ɾˠ iː k h ə
iarla	ˈ ia ɾˠ l̻ˠ ə
iarmhairt	ˈ ia ɾˠ vˠ ə ɾˠ tʲ
iarmhéid	ˈ iˑə ɾˠ ˈ vʲ eː dʲ
Iarmhí	ˈ iˑə ɾˠ ˈ vʲ iː
iarmhír	ˈ ia ɾˠ vʲ i ɾʲ
iarnáil	ˈ ia ɾˠ n̻ˠ a lʲ
iarnóin	ˈ ia ɾˠ ˌ n̻ˠ o nʲ
iarnród	ˈ ia ɾˠ n̻ˠ ɾˠ o d̪ˠ
iar-nua-aoiseach	ˈ iˑə ɾˠ ˈ n̻ˠ uˑə ˈ iː ˈ ʃ a h
iar-nua-aoisí	ˈ iˑə ɾˠ ˈ n̻ˠ uˑə ˈ iː ˈ ʃ iː
iarr	ˈ ia ɾˠ
iarracht	ˈ ia ɾˠ a x t̪ˠ
iarraidh	ˈ ia ɾˠ iː
iarratais	ˈ iˑə ˈ ɾˠ a t̪ˠ ə ʃ
iarratas	ˈ ia ɾˠ ə t̪ˠ ə sˠ
iarrtha	ˈ iˑə ˈ ɾˠ h a
iarshaighdiúir	ˈ iˑə ɾˠ ˈ h ai dʲ u ɾʲ
iarsma	ˈ ia ɾˠ sˠ mˠ ə
iarsmalann	ˈ ia ɾˠ sˠ mˠ ə l̻ˠ ə n̻ˠ
iarthar	ˈ ia ɾˠ h ə ɾˠ
iartharach	ˈ ia ɾˠ h ə ɾˠ a h
iartharú	ˈ iˑə ɾˠ ˈ h a ɾˠ uː
iarthuaisceart	ˈ ia ɾˠ h ua ʃ c ə ɾˠ t̪ˠ
Iarúbach	ˈ iˑə ˈ ɾˠ uː bˠ ə h
Iarúibis	ˈ iˑə ˈ ɾˠ uː bʲ ə ʃ
Iarúibise	ˈ iˑə ˈ ɾˠ uː bʲ ə ʃ ə
Iarúsailéim	ˈ iˑə ˈ ɾˠ uː sˠ ə lʲ eː mʲ
iasacht	ˈ ia sˠ a x t̪ˠ
iasachta	ˈ iˑə sˠ ə ɾˠ t̪ˠ ə
iasachtaí	ˈ ia sˠ a x t̪ˠ iː
iasc	ˈ ia sˠ k
iascach	ˈ ia sˠ k a h
iascaigh	ˈ iˑə sˠ k iː
iascaire	ˈ ia sˠ k ə ɾʲ ə
iascaireacht	ˈ ia sˠ k ə ɾʲ a x t̪ˠ
iascaireachta	ˈ iˑə sˠ k ə ɾʲ ə ɾˠ t̪ˠ ə
iata	ˈ ia t̪ˠ ə
iatán	ˈ ia t̪ˠ a n̻ˠ
Iávach	ˈ iː aː vʲ ə h
Ibéarach	ˈ i bʲ eː ɾˠ ə h
Ibéir	ˈ i bʲ eː ɾʲ
idé	ˈ i dʲ eː
idéal	ˈ i dʲ e l̻ˠ
idé-eolaíocht	ˈ i dʲ eː ˈ oː l̻ˠ iː a x t̪ˠ
ídigh	ˈ iː dʲ ə
idir	ˈ i dʲ ə ɾʲ
idirbheart	ˈ i dʲ ə ɾʲ ˈ vʲ a ɾˠ t̪ˠ
idirbhliain	ˈ i dʲ ə ɾʲ ˈ vˠ lʲ ia nʲ
idirbhliana	ˈ i dʲ ə ɾʲ ˈ vʲ lʲ ia n̻ˠ ə
idirbhriseadh	ˈ i dʲ ə ɾʲ ˈ vʲ ɾʲ i ʃ uː
idircheallach	ˈ i dʲ ə ɾʲ ˈ ç a l̻ˠ ə h
idirdhealaigh	ˈ i dʲ ə ɾʲ ˈ j o l̻ˠ iː
idirdhealú	ˈ i dʲ ə ɾʲ ˈ j o l̻ˠ uː
idirghabháil	ˈ i dʲ ə ɾʲ ˈ ɣ a vˠ a lʲ
idirghabhálaí	ˈ i dʲ ə ɾʲ ˈ ɣ a vˠ a l̻ˠ iː
idirghaolmhar	ˈ i dʲ ə ɾʲ ˈ ɣ iː l̻ˠ vˠ ə ɾˠ
idirghníomhú	ˈ i dʲ ə ɾʲ ˈ j nʲ iː vˠ uː
idirlín	ˈ i dʲ ə ɾˠ lʲ iː nʲ
idirlíon	ˈ i dʲ ə ɾʲ ˈ l̻ʲ iː n̻ˠ
idirnáisiúnta	ˈ i dʲ ə ɾʲ ˈ n̻ˠ aː ʃ u n̻ˠ t̪ˠ ə
idirnascadh	ˈ i dʲ ə ɾʲ ˈ n̻ˠ a sˠ k uː
idiroibriú	ˈ i dʲ ə ˈ ɾʲ i bʲ ɾʲ uː
idiroighreach	ˈ i dʲ ə ˈ ɾʲ ai ɾʲ a h
idirphearsanta	ˈ i dʲ ə ɾʲ ˈ fʲ a ɾˠ sˠ ə n̻ˠ t̪ˠ ə
idirspeiceasach	ˈ i dʲ ə ɾʲ ˈ sˠ pʲ e c ə sˠ ə h
idirstáit	ˈ i dʲ ə ɾʲ ˈ sˠ t̪ˠ aː tʲ
idirthaoideach	ˈ i dʲ ə ɾʲ ˈ h iː dʲ ə h
ídithe	ˈ iː dʲ ə h ə
íditheoir	
ifreann	ˈ i fʲ ɾʲ ə n̻ˠ
igín	ˈ i ɟ iː nʲ
ilbhéarlach	ˈ i lʲ ˈ vʲ eː ɾˠ l̻ˠ ə h
ilchineálach	ˈ i lʲ ˈ ç i nʲ a l̻ˠ a h
ilchineálacht	ˈ i lʲ ˈ ç i nʲ ə ˈ aː l̻ˠ ə ɾˠ t̪ˠ
ilchríoch	ˈ i lʲ ˈ ç ɾʲ i h
ilchuspóireach	ˈ i lʲ 
ildaite	ˈ i lʲ ˈ d̪ˠ a tʲ ə
íle	ˈ iː lʲ ə
il-eitneach	ˈ i ˈ lʲ e tʲ nʲ a h
ilfheidhmeach	ˈ i ˈ lʲ eː mʲ ə h
ilfhóinteach	ˈ i ˈ lʲ oː n̻ʲ tʲ a h
ilghnéitheach	ˈ i lʲ ˈ j ɾʲ e hʲ a h
ilghnéitheacht	ˈ i lʲ ˈ j nʲ eː h ə ɾˠ t̪ˠ
iliomad	ˈ i ˈ lʲ i mˠ ə d̪ˠ
iliomadach	ˈ i ˈ lʲ i mˠ ə d̪ˠ ə h
ilréimseach	ˈ i lʲ ˈ ɾˠ eː mʲ ʃ ə h
ilroghnacha	ˈ i lʲ ˈ ɾˠ au n̻ˠ ə h ə
ilsiamsa	ˈ i lʲ ˈ ʃ ia mˠ sˠ ə
ilspíosra	ˈ i lʲ ˈ sˠ pʲ iː sˠ ɾˠ ə
ilstórach	ˈ i l̻ˠ ˈ sˠ t̪ˠ oː ɾˠ a h
iltaobhach	ˈ i lʲ ˈ t̪ˠ iː vˠ a h
ilteangach	ˈ i lʲ ˈ tʲ a ŋ ɡ a h
im	ˈ i mʲ
imbhalla	ˈ i mʲ ˈ vˠ a l̻ˠ ə
imbhualadh	ˈ i mʲ ˈ vˠ ua l̻ˠ uː
imchas	ˈ i mʲ ˈ x a sˠ
imchluiche	ˈ i mʲ ˈ x l̻ˠ iː hʲ ə
imchuach	ˈ i mʲ ˈ x ua h
imdháileadh	ˈ i mʲ ˈ ɣ aː lʲ uː
imdhíonadh	ˈ i mʲ ˈ j iː n̻ˠ uː
imeacht	ˈ i mʲ a x t̪ˠ
imeachta	ˈ i mʲ ə ɾˠ t̪ˠ ə
imeachtaí	ˈ i ˈ mʲ a ɾˠ t̪ˠ iː
imeall	ˈ i mʲ ə l̻ˠ
imeallbhord	ˈ i mʲ ə l̻ˠ vˠ o ɾˠ d̪ˠ
imeartha	ˈ i mʲ ə ɾˠ h ə
imigh	ˈ i mʲ iː
imir	ˈ i mʲ ə ɾʲ
imirce	ˈ i mʲ ə ɾʲ c ə
imirceach	ˈ i mʲ ə ɾʲ c a h
imirt	ˈ i mʲ ə ɾˠ tʲ
imithe	ˈ i ˈ mʲ i hʲ ə
imleacán	ˈ i mʲ lʲ ə k a n̻ˠ
imlíne	ˈ i mʲ ˈ lʲ iː nʲ ə
imlínigh	ˈ i mʲ ˈ lʲ iː nʲ iː
imlíníocht	ˈ i mʲ ˈ l̻ʲ iː nʲ iː a x t̪ˠ
imní	ˈ i mʲ nʲ iː
imníoch	ˈ i mʲ nʲ ia h
imoibreán	ˈ i ˈ mʲ o bʲ ɾʲ aː n̻ˠ
imoibreoir	ˈ i ˈ mʲ o bʲ ɾʲ o ɾʲ
imoibrigh	ˈ i mʲ ˈ o bʲ ɾʲ iː
imoibriú	ˈ i ˈ mʲ i bʲ ɾʲ uː
imoibriúchán	ˈ i ˈ mʲ o bʲ ɾʲ uː h aː n̻ˠ
impí	ˈ i mʲ pʲ iː
impigh	ˈ i mʲ pʲ iː
impire	ˈ i mʲ pʲ ə ɾʲ ə
impireacht	ˈ i mʲ pʲ ə ɾʲ a x t̪ˠ
impireachta	ˈ i mʲ ˈ pʲ i ɾʲ ə ɾˠ t̪ˠ ə
impiriúil	ˈ i mʲ pʲ ə ɾʲ u lʲ
impiriúlach	ˈ i mʲ ˈ pʲ i ɾʲ uː l̻ˠ ə h
impiriúlachas	ˈ i mʲ pʲ ə ɾʲ u l̻ˠ a h ə sˠ
impiriúlaí	ˈ i mʲ ˈ pʲ i ɾʲ uː l̻ˠ iː
impleacht	ˈ i mʲ ˈ pʲ lʲ a ɾˠ t̪ˠ
imprisean	ˈ i mʲ ˈ pʲ ɾʲ i ʃ ə n̻ˠ
imreas	ˈ i mʲ ɾʲ ə sˠ
imréitigh	ˈ i mʲ ˈ ɾˠ eː tʲ iː
imreoir	ˈ i mʲ ɾʲ o ɾʲ
imrisc	ˈ i mʲ ˈ ɾˠ i ʃ c
imrothlú	ˈ i mʲ ɾˠ o h l̻ˠ uː
imscrúdú	ˈ i mʲ ˈ sˠ k ɾˠ uː d̪ˠ uː
imshruthaigh	ˈ i mʲ ˈ ɾ̥ˠ u h iː
imshruthaithe	ˈ i mʲ ˈ ɾ̥ˠ u h ə h ə
imshruthú	ˈ i mʲ h ɾˠ u h uː
in	ˈ i nʲ
ina	ˈ i n̻ˠ ə
inamhrais	ˈ i ˈ nʲ au ɾˠ ə ʃ
inardaithe	ˈ i ˈ nʲ a ɾˠ d̪ˠ ə h ə
in-athnuaite	ˈ i ˈ nʲ a ˈ n̻ˠ uˑə tʲ ə
inathraithe	ˈ i ˈ nʲ a ˈ ɾˠ a h ə
inathraitheacht	ˈ i ˈ nʲ a ˈ ɾˠ a h ə ɾˠ t̪ˠ
Inceach	ˈ i nʲ ˈ c a h
incháinithe	ˈ i nʲ ˈ x aː nʲ ə h ə
incheallach	ˈ i nʲ ˈ ç a l̻ˠ ə h
inchinn	ˌ i nʲ ç ə n̻ʲ
inchinní	ˈ i nʲ ˈ ç i n̻ʲ iː
inchlóite	ˈ i nʲ ˈ x l̻ˠ oː ˈ i tʲ ə
inchonspóide	ˈ i nʲ 
inchosanta	ˈ i nʲ ˈ x o sˠ ə n̻ˠ t̪ˠ ə
inchúisithe	ˈ i nʲ ˈ x uː ʃ ə h ə
indéanta	ˌ i nʲ ˈ dʲ eː n̻ˠ t̪ˠ ə
India	ˈ i nʲ ˈ dʲ iˑə
Indiach	ˈ i nʲ ˈ dʲ ia h
indibhidiúlachas	ˈ i nʲ ˈ dʲ i vʲ ə dʲ uː l̻ˠ ə h ə sˠ
Indinéis	ˈ i nʲ ˈ dʲ i nʲ eː ʃ
Indinéiseach	ˈ i nʲ ˈ dʲ i nʲ eː ʃ ə h
indíotáilte	ˈ i nʲ ˈ dʲ iː t̪ˠ aː lʲ tʲ ə
indiúscartha	ˈ i nʲ ˈ dʲ uː sˠ k ə ɾˠ h ə
Ind-Sín	ˈ i nʲ dʲ ˈ ʃ iː nʲ
infheicthe	ˌ i nʲ ˈ e c ə
infheisteoir	ˈ i nʲ 
infheistiocht	ˈ i ˈ nʲ e ʃ tʲ ə ɾˠ t̪ˠ
infheistíocht	ˌ i nʲ ˈ e ʃ tʲ i a x t̪ˠ
infheistíochta	ˈ i ˈ nʲ e ʃ tʲ iˑə ɾˠ t̪ˠ ə
infheistiú	ˈ i ˈ nʲ e ʃ tʲ uː
infhillte	ˈ i ˈ nʲ i l̻ʲ tʲ ə
infhoilsithe	ˈ i ˈ nʲ o ˈ i lʲ ʃ ə h ə
infreastruchtúir	ˈ i nʲ ˈ fʲ ɾʲ a sˠ t̪ˠ ɾˠ ə ɾˠ t̪ˠ uː ɾʲ
infreastruchtúr	ˈ i nʲ ˈ fʲ ɾʲ a sˠ t̪ˠ ɾˠ ə ɾˠ t̪ˠ uː ɾˠ
infridhearg	ˈ i nʲ ˈ fʲ ɾʲ iː ə ɾˠ ɡ
inghlactha	ˌ i n̻ˠ ˈ ɣ l̻ˠ a k ə
inghlacthacht	ˈ i nʲ ˈ ɣ l̻ˠ a k h ə ɾˠ t̪ˠ
Inide	ˈ i ˈ nʲ i dʲ ə
inimirce	ˌ i nʲ ˈ i mʲ ə ɾʲ c ə
inimirceach	ˌ i nʲ ˈ i mʲ ə ɾʲ c a h
iníoctha	ˌ i nʲ iː k ə
iníocthach	ˈ i ˈ nʲ iː k h ə h
Iníon	ˈ i nʲ i n̻ˠ
iníor	ˈ i ˈ nʲ iː ɾˠ
in-íoslódáilte	ˈ i ˈ nʲ iː sˠ ˈ l̻ˠ oː d̪ˠ aː lʲ tʲ ə
inis	ˈ i nʲ ə ʃ
Inis	ˈ i nʲ ə ʃ
iniseal	ˈ i ˈ nʲ i ʃ ə l̻ˠ
iniúch	ˈ i nʲ u h
iniúchadh	ˈ i nʲ u h uː
iniúchóireacht	ˈ i nʲ 
iniúchta	ˈ i ˈ nʲ uː ɾˠ t̪ˠ ə
inlíne	ˈ i nʲ ˈ l̻ʲ iː nʲ ə
inmhalartacht	ˈ i nʲ ˈ vˠ a l̻ˠ ə ɾˠ t̪ˠ ə ɾˠ t̪ˠ
inmhalartaithe	ˈ i nʲ ˈ vˠ a l̻ˠ ə ɾˠ t̪ˠ ə h ə
inmharthana	ˈ i nʲ ˈ vˠ a ɾˠ h ə n̻ˠ ə
inmharthanacht	ˈ i nʲ ˈ vˠ a ɾˠ h ə n̻ˠ ə ɾˠ t̪ˠ
inmheabhrú	ˈ i nʲ ˈ vˠ au ɾˠ uː
inmheánach	ˌ i nʲ ˈ vʲ aː n̻ˠ a h
inmholta	ˌ i n̻ˠ ˈ vˠ o l̻ˠ t̪ˠ ə
inmhuirir	ˈ i nʲ ˈ vˠ i ɾʲ ə ɾʲ
inné	ə ˈ n̻ʲ eː
inneachar	ˈ i ˈ n̻ʲ a h ə ɾˠ
innéacs	ˌ i n̻ʲ ˈ eː k sˠ
innéacsaigh	ˌ i n̻ʲ ˈ eː k sˠ iː
innéacsuimhir	ˈ i ˈ n̻ʲ eː k sˠ ə vʲ ə ɾʲ
inneall	ˈ i n̻ʲ ə l̻ˠ
innealra	ˈ i n̻ʲ ə l̻ˠ ɾˠ ə
innealta	ˈ i n̻ʲ ə l̻ˠ t̪ˠ ə
innealtóir	ˈ i n̻ʲ ə l̻ˠ t̪ˠ o ɾʲ
innealtóireacht	ˈ i n̻ʲ ə l̻ˠ t̪ˠ o ɾʲ a x t̪ˠ
inní	ˈ i ˈ n̻ʲ iː
innill	ˈ i n̻ʲ ə l̻ʲ
innilt	ˈ i n̻ʲ ə l̻ʲ tʲ
inniu	ə ˈ n̻ʲ uː
inniúil	ˌ i n̻ʲ ˈ uː lʲ
inniúlacht	ˌ i n̻ʲ ˈ uː l̻ˠ a x t̪ˠ
inphriontáilte	ˈ i nʲ ˈ fʲ ɾʲ i n̻ˠ t̪ˠ aː lʲ tʲ ə
inscne	ˈ i n̻ʲ ʃ c nʲ ə
inscneach	ˈ i nʲ ˈ ʃ c nʲ a h
Inse	ˈ i n̻ʲ ʃ ə
insealbhaigh	ˌ i nʲ ˈ ʃ o l̻ˠ ə vˠ iː
insealbhú	ˈ i nʲ ˈ ʃ a l̻ˠ ə vˠ uː
inseamhnú	ˌ i nʲ ˈ ʃ au n̻ˠ uː
inséidte	ˈ i nʲ ˈ ʃ eː dʲ ə
inséidteach	ˈ i nʲ ˈ ʃ eː dʲ ə h
insint	ˌ i nʲ ˈ ʃ i nʲ tʲ
insinte	ˈ i nʲ ˈ ʃ i nʲ tʲ ə
inslin	ˈ i n̻ʲ ʃ lʲ ə nʲ
inspreagadh	ˈ i nʲ ˈ sˠ pʲ ɾʲ a ɡ uː
insteall	ˈ i nʲ ʃ tʲ o l̻ˠ
instealladh	ˈ i nʲ ʃ tʲ o l̻ˠ uː
instinn	ˈ i nʲ ˈ ʃ tʲ i n̻ʲ
institiúid	ˈ i n̻ʲ ʃ tʲ ə tʲ u dʲ
inteilgean	ˈ i nʲ ˈ tʲ e lʲ ə ɟ ə n̻ˠ
intinn	ˈ i n̻ʲ tʲ ə n̻ʲ
intinne	ˈ i nʲ ˈ tʲ i n̻ʲ ə
intinneach	ˈ i n̻ʲ tʲ ə n̻ʲ a h
intíre	ˌ i nʲ ˈ tʲ iː ɾʲ ə
intleacht	ˈ i n̻ʲ tʲ lʲ a x t̪ˠ
intreoir	ˈ i nʲ ˈ tʲ ɾʲ oː ɾʲ
intuigthe	ˈ i n̻ˠ t̪ˠ i c ə
inveirteabrach	ˈ i nʲ ˈ vʲ e ɾˠ tʲ ə bˠ ɾˠ a h
íoc	ˈ iː k
íocaíocht	ˈ iː k iː a x t̪ˠ
íocaíochta	ˈ iː k iˑə ɾˠ t̪ˠ ə
íochtair	ˈ iː ɾˠ t̪ˠ ə ɾʲ
íochtar	ˈ iː k t̪ˠ ə ɾˠ
íochtarach	ˈ iː k t̪ˠ ə ɾˠ a h
íoclann	ˈ iː k l̻ˠ ə n̻ˠ
íocóir	ˈ iː k o ɾʲ
Iodáil	ˈ i d̪ˠ aː lʲ
Iodáilis	ˈ i d̪ˠ aː lʲ ə ʃ
Iodáilise	ˈ i d̪ˠ aː lʲ ə ʃ ə
Iodálach	ˈ i d̪ˠ a l̻ˠ a h
ióga	ˈ iː oː ɡ ə
íogair	ˈ iː ɡ ə ɾʲ
iógairt	ˈ iː oː ɡ ə ɾˠ tʲ
iógart	ˈ j oː ɡ ə ɾˠ t̪ˠ
Íogbóch	
íogó	
iolar	ˈ i l̻ˠ ə ɾˠ
iolra	ˈ i l̻ˠ ɾˠ ə
iolrach	ˈ i l̻ˠ ɾˠ a h
iolraigh	ˈ i l̻ˠ ɾˠ iː
iolrú	ˈ i l̻ˠ ɾˠ uː
iolrúchán	ˈ i l̻ˠ ɾˠ uː h aː n̻ˠ
iomadú	ˈ i mˠ ə d̪ˠ uː
iomaí	ˈ u mˠ iː
iomáint	ˈ i mˠ aː nʲ tʲ
iomaíoch	ˈ i mˠ iˑə h
iomaíocht	ˈ i mˠ iː a x t̪ˠ
iomaíochta	ˈ i mˠ iˑə ɾˠ t̪ˠ ə
iomair	ˈ i mˠ ə ɾʲ
iomaitheoir	ˈ i mˠ i hʲ o ɾʲ
iomaitheoirí	
iomám	ˈ i mˠ aː mˠ
iománaíocht	ˈ i mˠ a n̻ˠ iː a x t̪ˠ
iomann	ˈ i mˠ ə n̻ˠ
iomarcaíochta	ˈ i mˠ ə ɾˠ k iˑə ɾˠ t̪ˠ ə
iomartha	ˈ i mˠ ə ɾˠ h ə
iomas	ˈ i mˠ ə sˠ
iomchuí	ˈ i mˠ ˈ x iː
íomhá	ˈ iː vˠ aː
íomháigh	ˈ iː vˠ aː j
íomháineachas	ˈ iː vˠ a nʲ a h ə sˠ
íomhánna	ˈ iː vˠ aː n̻ˠ ə
íomháú	ˈ iː vˠ aː uː
iomláine	ˈ i mˠ ˈ l̻ˠ aː nʲ ə
iomlaisc	ˈ i mˠ l̻ˠ ə ʃ c
iomlán	ˈ o mˠ l̻ˠ a n̻ˠ
iomlaoid	ˈ i mˠ l̻ˠ i dʲ
iomlasc	ˈ i mˠ l̻ˠ ə sˠ k
iompaigh	ˈ i mˠ pˠ iː
iompair	ˈ i mˠ pˠ ə ɾʲ
iompaithe	ˈ i mˠ pˠ ə h ə
iompaitheach	ˈ i mˠ pˠ i hʲ a h
iompar	ˈ i mˠ pˠ ə ɾˠ
iompóir	
iompórtáil	ˌ i mˠ ˈ pˠ oː ɾˠ t̪ˠ a lʲ
iompraíocht	ˈ i mˠ pˠ ɾˠ iˑə ɾˠ t̪ˠ
iompraíochta	ˈ i mˠ pˠ ɾˠ iˑə ɾˠ t̪ˠ ə
iompú	ˈ i mˠ pˠ uː
iomrá	ˌ i mˠ ˈ ɾˠ aː
iomráiteach	ˌ i mˠ ˈ ɾˠ aː tʲ a h
iomróir	ˈ i mˠ ɾˠ o ɾʲ
íona	ˈ iː n̻ˠ ə
Iónach	ˈ iː oː n̻ˠ ə h
ionaclú	ˌ i n̻ˠ ˈ a k l̻ˠ uː
ionad	ˈ i n̻ˠ ə d̪ˠ
ionadaí	ˈ i n̻ˠ ə d̪ˠ iː
ionadaigh	ˈ i n̻ˠ ə d̪ˠ iː
ionadaíoch	ˈ i n̻ˠ ə d̪ˠ iˑə h
ionadh	ˈ iː n̻ˠ uː
ionaid	ˈ i n̻ˠ ə dʲ
íonaigh	ˈ iː n̻ˠ iː
íonaithe	ˈ iː n̻ˠ ə h ə
ionanálaigh	ˈ i n̻ˠ ə n̻ˠ aː l̻ˠ iː
ionanálaithe	ˈ i n̻ˠ ə n̻ˠ aː l̻ˠ ə h ə
ionann	ˈ i n̻ˠ ə n̻ˠ
ionannais	ˈ i n̻ˠ ə n̻ˠ ə ʃ
ionannas	ˈ i n̻ˠ ə n̻ˠ ə sˠ
ionar	ˈ i n̻ˠ ə ɾˠ
ionas	ˈ i n̻ˠ ə sˠ
ionathar	ˈ i n̻ˠ ə h ə ɾˠ
ioncaim	ˈ i n̻ˠ k ə mʲ
ioncam	ˈ i ŋ k ə mˠ
ionchas	ˌ i n̻ˠ ˈ a h ə sˠ
ionchasach	ˈ i n̻ˠ ə x ə sˠ ə h
ionchuir	ˈ i n̻ˠ ə x ə ɾʲ
ionchúisitheoir	
ionchur	ˈ i n̻ˠ ə x ə ɾˠ
ionfhabhtaíoch	ˈ i n̻ˠ ə t̪ˠ iˑə h
ionfhabhtú	ˈ i n̻ˠ ə t̪ˠ uː
íonghlan	ˈ iː ŋ h l̻ˠ ə n̻ˠ
íonghlanadh	ˌ iː n̻ˠ ˈ ɣ l̻ˠ a n̻ˠ uː
íonghlanta	ˈ iː ŋ h l̻ˠ ə n̻ˠ t̪ˠ ə
ionlach	ˈ i n̻ˠ l̻ˠ a h
ionmhatánach	ˈ i n̻ˠ ə vˠ ə t̪ˠ aː n̻ˠ ə h
ionnarb	ˈ i n̻ˠ ə ɾˠ bˠ
ionnarbtha	ˈ i n̻ˠ ə ɾˠ bˠ h ə
ionphlugála	ˈ i n̻ˠ fˠ l̻ˠ ə ɡ aː l̻ˠ ə
ionracas	ˈ i n̻ˠ ɾˠ ə k ə sˠ
ionraic	ˈ i n̻ˠ ɾˠ ə c
ionraidh	ˈ i n̻ˠ ɾˠ iː
ionróir	ˈ i n̻ˠ ɾˠ o ɾʲ
ionsaí	ˈ i n̻ˠ sˠ iː
ionsaigh	ˈ i n̻ˠ sˠ iː
